Source,Target,Type,Id,timeset
1,2,Undirected,81163,
1,5,Undirected,81164,
1,6,Undirected,81165,
1,7,Undirected,81166,
1,8,Undirected,81167,
1,9,Undirected,81168,
1,11,Undirected,81169,
1,21,Undirected,81170,
1,28,Undirected,81171,
1,30,Undirected,81172,
1,37,Undirected,81173,
1,38,Undirected,81174,
1,39,Undirected,81175,
1,49,Undirected,81176,
1,50,Undirected,81177,
1,53,Undirected,81178,
1,54,Undirected,81179,
1,72,Undirected,81180,
1,76,Undirected,81181,
1,91,Undirected,81182,
1,96,Undirected,81183,
1,99,Undirected,81184,
1,100,Undirected,81185,
1,101,Undirected,81186,
1,102,Undirected,81187,
1,107,Undirected,81188,
1,108,Undirected,81189,
1,109,Undirected,81190,
1,113,Undirected,81191,
1,127,Undirected,81192,
1,131,Undirected,81193,
1,139,Undirected,81194,
1,144,Undirected,81195,
1,147,Undirected,81196,
1,148,Undirected,81197,
1,150,Undirected,81198,
1,155,Undirected,81199,
1,157,Undirected,81200,
1,158,Undirected,81201,
1,160,Undirected,81202,
1,163,Undirected,81203,
1,164,Undirected,81204,
2,3,Undirected,81206,
2,4,Undirected,81207,
2,5,Undirected,81208,
2,6,Undirected,81209,
2,7,Undirected,81210,
2,8,Undirected,81211,
2,10,Undirected,81212,
2,17,Undirected,81213,
2,18,Undirected,81214,
2,27,Undirected,81215,
2,28,Undirected,81216,
2,30,Undirected,81217,
2,36,Undirected,81218,
2,38,Undirected,81219,
2,40,Undirected,81220,
2,41,Undirected,81221,
2,42,Undirected,81222,
2,44,Undirected,81223,
2,51,Undirected,81224,
2,53,Undirected,81225,
2,54,Undirected,81226,
2,61,Undirected,81227,
2,77,Undirected,81228,
2,78,Undirected,81229,
2,79,Undirected,81230,
2,83,Undirected,81231,
2,84,Undirected,81232,
2,85,Undirected,81233,
2,86,Undirected,81234,
2,92,Undirected,81235,
2,99,Undirected,81236,
2,101,Undirected,81237,
2,102,Undirected,81238,
2,103,Undirected,81239,
2,108,Undirected,81240,
2,109,Undirected,81241,
2,110,Undirected,81242,
2,113,Undirected,81243,
2,116,Undirected,81244,
2,118,Undirected,81245,
2,131,Undirected,81246,
2,137,Undirected,81247,
2,138,Undirected,81248,
2,144,Undirected,81249,
2,147,Undirected,81250,
2,148,Undirected,81251,
2,149,Undirected,81252,
2,153,Undirected,81253,
2,155,Undirected,81254,
2,156,Undirected,81255,
2,157,Undirected,81256,
2,158,Undirected,81257,
2,159,Undirected,81258,
2,163,Undirected,81259,
2,164,Undirected,81260,
3,4,Undirected,81262,
3,6,Undirected,81263,
3,8,Undirected,81264,
3,9,Undirected,81265,
3,11,Undirected,81266,
3,17,Undirected,81267,
3,18,Undirected,81268,
3,19,Undirected,81269,
3,21,Undirected,81270,
3,22,Undirected,81271,
3,23,Undirected,81272,
3,24,Undirected,81273,
3,26,Undirected,81274,
3,28,Undirected,81275,
3,30,Undirected,81276,
3,35,Undirected,81277,
3,37,Undirected,81278,
3,40,Undirected,81279,
3,41,Undirected,81280,
3,42,Undirected,81281,
3,43,Undirected,81282,
3,44,Undirected,81283,
3,45,Undirected,81284,
3,47,Undirected,81285,
3,48,Undirected,81286,
3,49,Undirected,81287,
3,51,Undirected,81288,
3,53,Undirected,81289,
3,54,Undirected,81290,
3,56,Undirected,81291,
3,57,Undirected,81292,
3,64,Undirected,81293,
3,65,Undirected,81294,
3,76,Undirected,81295,
3,77,Undirected,81296,
3,78,Undirected,81297,
3,79,Undirected,81298,
3,80,Undirected,81299,
3,81,Undirected,81300,
3,82,Undirected,81301,
3,83,Undirected,81302,
3,84,Undirected,81303,
3,85,Undirected,81304,
3,86,Undirected,81305,
3,87,Undirected,81306,
3,90,Undirected,81307,
3,96,Undirected,81308,
3,97,Undirected,81309,
3,103,Undirected,81310,
3,106,Undirected,81311,
3,108,Undirected,81312,
3,109,Undirected,81313,
3,110,Undirected,81314,
3,113,Undirected,81315,
3,114,Undirected,81316,
3,115,Undirected,81317,
3,118,Undirected,81318,
3,126,Undirected,81319,
3,128,Undirected,81320,
3,133,Undirected,81321,
3,134,Undirected,81322,
3,135,Undirected,81323,
3,136,Undirected,81324,
3,137,Undirected,81325,
3,138,Undirected,81326,
3,143,Undirected,81327,
3,145,Undirected,81328,
3,146,Undirected,81329,
3,150,Undirected,81330,
3,154,Undirected,81331,
3,155,Undirected,81332,
3,156,Undirected,81333,
