Source,Target,Type,timeset
1,2,Undirected,
1,20,Undirected,
1,30,Undirected,
1,42,Undirected,
1,44,Undirected,
1,46,Undirected,
1,49,Undirected,
1,53,Undirected,
1,56,Undirected,
1,69,Undirected,
1,74,Undirected,
1,90,Undirected,
1,91,Undirected,
1,133,Undirected,
1,141,Undirected,
1,147,Undirected,
1,148,Undirected,
1,155,Undirected,
1,156,Undirected,
1,157,Undirected,
2,5,Undirected,
2,6,Undirected,
2,8,Undirected,
2,27,Undirected,
2,30,Undirected,
2,42,Undirected,
2,43,Undirected,
2,44,Undirected,
2,47,Undirected,
2,49,Undirected,
2,54,Undirected,
2,70,Undirected,
2,71,Undirected,
2,74,Undirected,
2,90,Undirected,
2,91,Undirected,
2,108,Undirected,
2,133,Undirected,
2,134,Undirected,
2,135,Undirected,
2,140,Undirected,
2,141,Undirected,
2,147,Undirected,
2,155,Undirected,
2,156,Undirected,
2,157,Undirected,
2,164,Undirected,
3,4,Undirected,
3,11,Undirected,
3,13,Undirected,
3,14,Undirected,
3,15,Undirected,
3,22,Undirected,
3,33,Undirected,
3,51,Undirected,
3,76,Undirected,
3,78,Undirected,
3,79,Undirected,
3,80,Undirected,
3,81,Undirected,
3,82,Undirected,
3,83,Undirected,
3,84,Undirected,
3,85,Undirected,
3,86,Undirected,
3,92,Undirected,
3,96,Undirected,
3,97,Undirected,
3,98,Undirected,
3,99,Undirected,
3,102,Undirected,
3,103,Undirected,
3,105,Undirected,
3,112,Undirected,
3,137,Undirected,
3,138,Undirected,
3,145,Undirected,
3,146,Undirected,
3,151,Undirected,
3,162,Undirected,
4,11,Undirected,
4,15,Undirected,
4,76,Undirected,
4,78,Undirected,
4,79,Undirected,
4,80,Undirected,
4,81,Undirected,
4,82,Undirected,
4,83,Undirected,
4,84,Undirected,
4,92,Undirected,
4,93,Undirected,
4,96,Undirected,
4,97,Undirected,
4,98,Undirected,
4,99,Undirected,
4,103,Undirected,
4,138,Undirected,
4,145,Undirected,
4,146,Undirected,
5,6,Undirected,
5,7,Undirected,
5,8,Undirected,
5,10,Undirected,
5,11,Undirected,
5,12,Undirected,
5,13,Undirected,
5,31,Undirected,
5,50,Undirected,
5,51,Undirected,
5,53,Undirected,
5,54,Undirected,
5,55,Undirected,
5,70,Undirected,
5,90,Undirected,
5,91,Undirected,
5,112,Undirected,
5,139,Undirected,
5,144,Undirected,
5,151,Undirected,
5,155,Undirected,
5,157,Undirected,
6,7,Undirected,
6,8,Undirected,
6,12,Undirected,
6,27,Undirected,
6,28,Undirected,
6,31,Undirected,
6,47,Undirected,
6,48,Undirected,
6,54,Undirected,
6,61,Undirected,
6,66,Undirected,
6,70,Undirected,
6,74,Undirected,
6,75,Undirected,
6,77,Undirected,
6,90,Undirected,
6,91,Undirected,
6,94,Undirected,
6,107,Undirected,
6,108,Undirected,
6,109,Undirected,
6,110,Undirected,
6,115,Undirected,
6,116,Undirected,
6,118,Undirected,
6,119,Undirected,
6,120,Undirected,
6,129,Undirected,
6,140,Undirected,
6,141,Undirected,
6,147,Undirected,
6,155,Undirected,
6,157,Undirected,
6,163,Undirected,
6,164,Undirected,
7,8,Undirected,
7,11,Undirected,
7,12,Undirected,
7,32,Undirected,
7,35,Undirected,
7,36,Undirected,
7,47,Undirected,
7,48,Undirected,
7,50,Undirected,
7,53,Undirected,
7,54,Undirected,
7,90,Undirected,
7,91,Undirected,
7,134,Undirected,
7,141,Undirected,
7,155,Undirected,
7,157,Undirected,
8,10,Undirected,
8,12,Undirected,
8,31,Undirected,
8,32,Undirected,
8,47,Undirected,
8,48,Undirected,
8,53,Undirected,
8,54,Undirected,
8,66,Undirected,
8,70,Undirected,
8,74,Undirected,
8,77,Undirected,
8,90,Undirected,
8,91,Undirected,
8,94,Undirected,
8,107,Undirected,
8,108,Undirected,
8,109,Undirected,
8,110,Undirected,
8,115,Undirected,
8,116,Undirected,
8,118,Undirected,
8,119,Undirected,
8,120,Undirected,
8,121,Undirected,
8,123,Undirected,
8,131,Undirected,
8,140,Undirected,
8,141,Undirected,
8,147,Undirected,
8,155,Undirected,
8,156,Undirected,
8,157,Undirected,
8,163,Undirected,
8,164,Undirected,
9,11,Undirected,
9,23,Undirected,
9,24,Undirected,
9,40,Undirected,
9,42,Undirected,
9,46,Undirected,
9,58,Undirected,
9,85,Undirected,
9,87,Undirected,
9,108,Undirected,
9,110,Undirected,
9,160,Undirected,
9,161,Undirected,
9,164,Undirected,
10,11,Undirected,
10,12,Undirected,
10,14,Undirected,
10,25,Undirected,
10,26,Undirected,
10,31,Undirected,
10,32,Undirected,
10,43,Undirected,
10,45,Undirected,
10,76,Undirected,
10,77,Undirected,
10,78,Undirected,
10,82,Undirected,
10,84,Undirected,
10,85,Undirected,
10,87,Undirected,
10,137,Undirected,
10,155,Undirected,
10,159,Undirected,
11,12,Undirected,
11,13,Undirected,
11,14,Undirected,
11,33,Undirected,
11,35,Undirected,
11,50,Undirected,
11,51,Undirected,
11,55,Undirected,
11,78,Undirected,
11,139,Undirected,
11,144,Undirected,
11,146,Undirected,
11,149,Undirected,
11,151,Undirected,
11,159,Undirected,
12,14,Undirected,
12,31,Undirected,
12,47,Undirected,
12,77,Undirected,
12,90,Undirected,
12,145,Undirected,
12,155,Undirected,
13,14,Undirected,
13,15,Undirected,
13,33,Undirected,
13,34,Undirected,
13,50,Undirected,
13,51,Undirected,
13,73,Undirected,
13,78,Undirected,
13,80,Undirected,
13,81,Undirected,
13,84,Undirected,
13,85,Undirected,
13,86,Undirected,
13,100,Undirected,
13,102,Undirected,
13,103,Undirected,
13,112,Undirected,
13,114,Undirected,
13,137,Undirected,
13,138,Undirected,
13,139,Undirected,
13,149,Undirected,
13,151,Undirected,
14,15,Undirected,
14,33,Undirected,
14,34,Undirected,
14,36,Undirected,
14,50,Undirected,
14,51,Undirected,
14,73,Undirected,
14,78,Undirected,
14,79,Undirected,
14,80,Undirected,
14,81,Undirected,
14,83,Undirected,
14,84,Undirected,
14,85,Undirected,
14,86,Undirected,
14,102,Undirected,
14,103,Undirected,
14,114,Undirected,
14,137,Undirected,
14,138,Undirected,
14,139,Undirected,
14,149,Undirected,
14,151,Undirected,
14,153,Undirected,
15,16,Undirected,
15,19,Undirected,
15,25,Undirected,
15,33,Undirected,
15,34,Undirected,
15,72,Undirected,
15,78,Undirected,
15,79,Undirected,
15,80,Undirected,
15,81,Undirected,
15,82,Undirected,
15,83,Undirected,
15,84,Undirected,
15,85,Undirected,
15,86,Undirected,
15,87,Undirected,
15,100,Undirected,
15,102,Undirected,
15,103,Undirected,
15,106,Undirected,
15,111,Undirected,
15,112,Undirected,
15,114,Undirected,
15,137,Undirected,
15,138,Undirected,
15,143,Undirected,
15,153,Undirected,
15,162,Undirected,
16,20,Undirected,
16,25,Undirected,
16,36,Undirected,
16,71,Undirected,
16,72,Undirected,
16,82,Undirected,
16,83,Undirected,
16,86,Undirected,
16,87,Undirected,
16,100,Undirected,
16,102,Undirected,
16,103,Undirected,
16,106,Undirected,
16,111,Undirected,
16,113,Undirected,
16,114,Undirected,
16,118,Undirected,
16,127,Undirected,
16,137,Undirected,
16,143,Undirected,
16,153,Undirected,
17,19,Undirected,
17,52,Undirected,
17,57,Undirected,
17,58,Undirected,
17,59,Undirected,
17,80,Undirected,
17,82,Undirected,
17,83,Undirected,
