Source,Target,Type,Label
1,2,Undirected,
1,5,Undirected,
1,7,Undirected,
1,30,Undirected,
1,43,Undirected,
1,53,Undirected,
1,70,Undirected,
1,133,Undirected,
1,147,Undirected,
1,148,Undirected,
1,155,Undirected,
1,156,Undirected,
1,157,Undirected,
1,158,Undirected,
2,5,Undirected,
2,6,Undirected,
2,7,Undirected,
2,8,Undirected,
2,10,Undirected,
2,12,Undirected,
2,36,Undirected,
2,42,Undirected,
2,43,Undirected,
2,44,Undirected,
2,53,Undirected,
2,54,Undirected,
2,133,Undirected,
2,147,Undirected,
2,148,Undirected,
2,153,Undirected,
2,155,Undirected,
2,156,Undirected,
2,157,Undirected,
2,159,Undirected,
3,4,Undirected,
3,11,Undirected,
3,14,Undirected,
3,15,Undirected,
3,16,Undirected,
3,17,Undirected,
3,18,Undirected,
3,19,Undirected,
3,37,Undirected,
3,38,Undirected,
3,39,Undirected,
3,50,Undirected,
3,51,Undirected,
3,55,Undirected,
3,62,Undirected,
3,63,Undirected,
3,68,Undirected,
3,76,Undirected,
3,78,Undirected,
3,79,Undirected,
3,80,Undirected,
3,81,Undirected,
3,82,Undirected,
3,83,Undirected,
3,84,Undirected,
3,85,Undirected,
3,86,Undirected,
3,87,Undirected,
3,96,Undirected,
3,97,Undirected,
3,98,Undirected,
3,99,Undirected,
3,102,Undirected,
3,103,Undirected,
3,104,Undirected,
3,105,Undirected,
3,106,Undirected,
3,137,Undirected,
3,138,Undirected,
3,144,Undirected,
3,145,Undirected,
3,146,Undirected,
3,150,Undirected,
4,11,Undirected,
4,12,Undirected,
4,14,Undirected,
4,15,Undirected,
4,16,Undirected,
4,17,Undirected,
4,18,Undirected,
4,19,Undirected,
4,20,Undirected,
4,37,Undirected,
4,38,Undirected,
4,39,Undirected,
4,50,Undirected,
4,51,Undirected,
4,55,Undirected,
4,62,Undirected,
4,63,Undirected,
4,68,Undirected,
4,76,Undirected,
4,77,Undirected,
4,78,Undirected,
4,79,Undirected,
4,80,Undirected,
4,81,Undirected,
4,82,Undirected,
4,83,Undirected,
4,84,Undirected,
4,85,Undirected,
4,86,Undirected,
4,87,Undirected,
4,96,Undirected,
4,97,Undirected,
4,99,Undirected,
4,102,Undirected,
4,103,Undirected,
4,104,Undirected,
4,105,Undirected,
4,106,Undirected,
4,137,Undirected,
4,138,Undirected,
4,144,Undirected,
4,145,Undirected,
4,146,Undirected,
4,161,Undirected,
4,162,Undirected,
5,6,Undirected,
5,7,Undirected,
5,8,Undirected,
5,13,Undirected,
5,14,Undirected,
5,33,Undirected,
5,34,Undirected,
5,50,Undirected,
5,51,Undirected,
5,53,Undirected,
5,54,Undirected,
5,55,Undirected,
5,96,Undirected,
5,135,Undirected,
5,139,Undirected,
5,144,Undirected,
5,147,Undirected,
5,148,Undirected,
5,151,Undirected,
5,152,Undirected,
5,155,Undirected,
6,7,Undirected,
6,8,Undirected,
6,10,Undirected,
6,13,Undirected,
6,14,Undirected,
6,34,Undirected,
6,42,Undirected,
6,44,Undirected,
6,49,Undirected,
6,50,Undirected,
6,51,Undirected,
6,52,Undirected,
6,53,Undirected,
6,54,Undirected,
6,139,Undirected,
6,144,Undirected,
6,151,Undirected,
6,152,Undirected,
6,155,Undirected,
6,159,Undirected,
7,8,Undirected,
7,11,Undirected,
7,12,Undirected,
7,13,Undirected,
7,14,Undirected,
7,33,Undirected,
7,34,Undirected,
7,35,Undirected,
7,36,Undirected,
7,39,Undirected,
7,42,Undirected,
7,43,Undirected,
7,44,Undirected,
7,50,Undirected,
7,51,Undirected,
7,53,Undirected,
7,54,Undirected,
7,55,Undirected,
7,56,Undirected,
7,57,Undirected,
7,134,Undirected,
7,136,Undirected,
7,139,Undirected,
7,144,Undirected,
7,147,Undirected,
7,152,Undirected,
7,153,Undirected,
7,154,Undirected,
7,155,Undirected,
7,156,Undirected,
7,157,Undirected,
7,158,Undirected,
8,10,Undirected,
8,11,Undirected,
8,12,Undirected,
8,13,Undirected,
8,14,Undirected,
8,33,Undirected,
8,34,Undirected,
8,35,Undirected,
8,36,Undirected,
8,43,Undirected,
8,44,Undirected,
8,50,Undirected,
8,51,Undirected,
8,53,Undirected,
8,54,Undirected,
8,55,Undirected,
8,77,Undirected,
8,134,Undirected,
8,139,Undirected,
8,144,Undirected,
8,147,Undirected,
8,151,Undirected,
8,152,Undirected,
8,153,Undirected,
8,154,Undirected,
8,155,Undirected,
8,156,Undirected,
8,157,Undirected,
9,10,Undirected,
9,11,Undirected,
9,39,Undirected,
