Source,Target,Type,Id,timeset
1,2,Undirected,22158,
1,5,Undirected,22159,
1,6,Undirected,22160,
1,7,Undirected,22161,
1,8,Undirected,22162,
1,10,Undirected,22163,
1,11,Undirected,22164,
1,12,Undirected,22165,
1,13,Undirected,22166,
1,14,Undirected,22167,
1,32,Undirected,22168,
1,36,Undirected,22169,
1,37,Undirected,22170,
1,39,Undirected,22171,
1,41,Undirected,22172,
1,53,Undirected,22173,
1,60,Undirected,22174,
1,62,Undirected,22175,
1,71,Undirected,22176,
1,106,Undirected,22177,
1,108,Undirected,22178,
1,110,Undirected,22179,
1,120,Undirected,22180,
1,121,Undirected,22181,
1,131,Undirected,22182,
1,133,Undirected,22183,
1,146,Undirected,22184,
1,147,Undirected,22185,
1,148,Undirected,22186,
1,152,Undirected,22187,
1,155,Undirected,22188,
1,156,Undirected,22189,
1,157,Undirected,22190,
1,158,Undirected,22191,
1,163,Undirected,22192,
1,164,Undirected,22193,
2,6,Undirected,22195,
2,7,Undirected,22196,
2,8,Undirected,22197,
2,10,Undirected,22198,
2,12,Undirected,22199,
2,14,Undirected,22200,
2,32,Undirected,22201,
2,33,Undirected,22202,
2,39,Undirected,22203,
2,42,Undirected,22204,
2,44,Undirected,22205,
2,51,Undirected,22206,
2,53,Undirected,22207,
2,54,Undirected,22208,
2,55,Undirected,22209,
2,60,Undirected,22210,
2,61,Undirected,22211,
2,77,Undirected,22212,
2,108,Undirected,22213,
2,110,Undirected,22214,
2,144,Undirected,22215,
2,145,Undirected,22216,
2,146,Undirected,22217,
2,147,Undirected,22218,
2,148,Undirected,22219,
2,151,Undirected,22220,
2,154,Undirected,22221,
2,155,Undirected,22222,
2,156,Undirected,22223,
2,157,Undirected,22224,
2,158,Undirected,22225,
2,159,Undirected,22226,
2,164,Undirected,22227,
3,4,Undirected,22228,
3,9,Undirected,22229,
3,11,Undirected,22230,
3,30,Undirected,22231,
3,37,Undirected,22232,
3,39,Undirected,22233,
3,45,Undirected,22234,
3,55,Undirected,22235,
3,60,Undirected,22236,
3,76,Undirected,22237,
3,78,Undirected,22238,
3,80,Undirected,22239,
3,82,Undirected,22240,
3,84,Undirected,22241,
3,86,Undirected,22242,
3,96,Undirected,22243,
3,97,Undirected,22244,
3,99,Undirected,22245,
3,102,Undirected,22246,
3,105,Undirected,22247,
3,138,Undirected,22248,
3,145,Undirected,22249,
3,146,Undirected,22250,
3,160,Undirected,22251,
4,8,Undirected,22253,
4,37,Undirected,22254,
4,38,Undirected,22255,
4,39,Undirected,22256,
4,40,Undirected,22257,
4,41,Undirected,22258,
4,61,Undirected,22259,
4,76,Undirected,22260,
4,77,Undirected,22261,
4,79,Undirected,22262,
4,81,Undirected,22263,
4,85,Undirected,22264,
4,87,Undirected,22265,
4,92,Undirected,22266,
4,93,Undirected,22267,
4,96,Undirected,22268,
4,97,Undirected,22269,
4,99,Undirected,22270,
4,102,Undirected,22271,
4,137,Undirected,22272,
4,145,Undirected,22273,
4,146,Undirected,22274,
4,149,Undirected,22275,
4,150,Undirected,22276,
4,155,Undirected,22277,
5,6,Undirected,22279,
5,7,Undirected,22280,
5,8,Undirected,22281,
5,13,Undirected,22282,
5,14,Undirected,22283,
5,25,Undirected,22284,
5,33,Undirected,22285,
5,35,Undirected,22286,
5,37,Undirected,22287,
5,40,Undirected,22288,
5,50,Undirected,22289,
5,51,Undirected,22290,
5,53,Undirected,22291,
5,54,Undirected,22292,
5,60,Undirected,22293,
5,61,Undirected,22294,
5,72,Undirected,22295,
5,99,Undirected,22296,
