Source,Target,Type,timeset
1,2,Undirected,
1,3,Undirected,
1,4,Undirected,
1,5,Undirected,
1,6,Undirected,
1,7,Undirected,
1,8,Undirected,
1,9,Undirected,
1,10,Undirected,
1,11,Undirected,
1,12,Undirected,
1,13,Undirected,
1,15,Undirected,
1,17,Undirected,
1,21,Undirected,
1,23,Undirected,
1,24,Undirected,
1,25,Undirected,
1,33,Undirected,
1,39,Undirected,
1,50,Undirected,
1,51,Undirected,
1,52,Undirected,
1,53,Undirected,
1,54,Undirected,
1,55,Undirected,
1,60,Undirected,
1,61,Undirected,
1,76,Undirected,
1,82,Undirected,
1,86,Undirected,
1,94,Undirected,
1,95,Undirected,
1,97,Undirected,
1,138,Undirected,
1,144,Undirected,
1,145,Undirected,
1,146,Undirected,
1,147,Undirected,
1,148,Undirected,
1,152,Undirected,
1,154,Undirected,
1,155,Undirected,
1,156,Undirected,
1,157,Undirected,
1,158,Undirected,
1,159,Undirected,
1,160,Undirected,
2,5,Undirected,
2,6,Undirected,
2,7,Undirected,
2,8,Undirected,
2,9,Undirected,
2,10,Undirected,
2,11,Undirected,
2,12,Undirected,
2,13,Undirected,
2,15,Undirected,
2,17,Undirected,
2,21,Undirected,
2,23,Undirected,
2,24,Undirected,
2,29,Undirected,
2,42,Undirected,
2,53,Undirected,
2,54,Undirected,
2,60,Undirected,
2,61,Undirected,
2,85,Undirected,
2,94,Undirected,
2,95,Undirected,
2,96,Undirected,
2,97,Undirected,
2,144,Undirected,
2,147,Undirected,
2,148,Undirected,
2,155,Undirected,
2,156,Undirected,
2,157,Undirected,
2,158,Undirected,
2,159,Undirected,
2,160,Undirected,
3,4,Undirected,
3,5,Undirected,
3,7,Undirected,
3,9,Undirected,
3,10,Undirected,
3,11,Undirected,
3,12,Undirected,
3,13,Undirected,
3,15,Undirected,
3,17,Undirected,
3,21,Undirected,
3,33,Undirected,
3,37,Undirected,
3,39,Undirected,
3,50,Undirected,
3,51,Undirected,
3,76,Undirected,
3,77,Undirected,
3,78,Undirected,
3,84,Undirected,
3,86,Undirected,
3,92,Undirected,
3,94,Undirected,
3,95,Undirected,
3,96,Undirected,
3,138,Undirected,
3,144,Undirected,
3,145,Undirected,
3,146,Undirected,
3,148,Undirected,
3,152,Undirected,
3,154,Undirected,
3,157,Undirected,
4,15,Undirected,
4,34,Undirected,
4,52,Undirected,
4,77,Undirected,
4,81,Undirected,
4,82,Undirected,
4,85,Undirected,
4,87,Undirected,
4,124,Undirected,
4,145,Undirected,
4,147,Undirected,
5,6,Undirected,
5,7,Undirected,
5,8,Undirected,
5,9,Undirected,
5,11,Undirected,
5,12,Undirected,
5,13,Undirected,
5,15,Undirected,
5,17,Undirected,
5,21,Undirected,
5,33,Undirected,
5,36,Undirected,
5,37,Undirected,
5,39,Undirected,
5,50,Undirected,
5,51,Undirected,
5,53,Undirected,
5,54,Undirected,
5,55,Undirected,
5,76,Undirected,
5,82,Undirected,
5,94,Undirected,
5,95,Undirected,
5,117,Undirected,
5,138,Undirected,
5,139,Undirected,
5,144,Undirected,
5,145,Undirected,
5,146,Undirected,
5,147,Undirected,
5,148,Undirected,
5,151,Undirected,
5,152,Undirected,
5,154,Undirected,
5,155,Undirected,
5,156,Undirected,
5,157,Undirected,
5,158,Undirected,
5,159,Undirected,
5,160,Undirected,
6,7,Undirected,
6,8,Undirected,
6,9,Undirected,
6,10,Undirected,
6,11,Undirected,
6,12,Undirected,
6,13,Undirected,
6,14,Undirected,
6,15,Undirected,
6,17,Undirected,
